ID,Pixels,ZDiscs,Centroid,Azi_[RAD],Ele_[RAD],Sph_[RAD],Azi_[DEG],Ele_[DEG],Sph_[DEG],PC1_ROT,PC2_ROT,PC3_ROT
3,52016,18,"[79.04927330052291, 228.92488849584743, 26.792486927099354]",-0.17262644189252407,-0.26812392659281326,-0.02670922693912936,-9.890766552801978,-15.362369380243699,-1.5303259776692357,[-0.82106284 -0.0572639   0.56795834],[0.56658203 0.03951549 0.8230573 ],[-6.95746155e-02  9.97576751e-01 -4.13400982e-10]
4,175106,63,"[112.05300789236234, 181.43229815083436, 266.0806140280744]",0.009164571297040514,-0.012398205968254472,-0.012783191016945805,0.5250912563671477,-0.710364875514891,-0.7324228939805408,[-0.77541453 -0.01956812  0.63114926],[0.63094839 0.01592242 0.7756614 ],[-2.52276617e-02  9.99681732e-01 -3.06091341e-09]
12,57095,20,"[48.25849899290656, 456.55300814432087, 281.4957176635432]",-0.015553747769084136,0.17247419511775014,-0.06870860902904075,-0.8911641027795412,9.88204345516295,-3.936713313578501,[-0.53285658 -0.00234082  0.84620233],[-0.84619417 -0.00371732 -0.53286172],[-4.39293379e-03  9.99990350e-01 -3.37636140e-09]
14,3258,1,"[4.5997544505831796, 440.49907918968694, 139.38428483732352]",-0.5121754444441908,0.27034744038536235,-0.5686360032474644,-29.34549133688931,15.489767336245887,-32.58044306526708,[2.47125832e-01 2.56971466e-05 9.68983397e-01],[-9.68983388e-01 -1.00745485e-04  2.47125834e-01],[-1.03965903e-04  9.99999992e-01  4.82764912e-10]
15,64867,23,"[47.26460295681934, 560.2037091279079, 238.11634575361893]",0.06215769576219676,0.11441027726709244,0.013099223546537586,3.561373631432076,6.555226020325941,0.7505302241149892,[0.37072202 0.003446   0.92873748],[-0.92869736 -0.00863258  0.37073804],[-9.29495324e-03  9.99956799e-01 -2.23154499e-09]
16,51850,18,"[36.88653809064609, 882.1661909353905, 280.60252651880427]",0.027198007209153996,0.11915359667744355,-0.020906061268441745,1.5583310242509185,6.826998203421542,-1.1978290769236324,[-0.28334592 -0.00247763  0.95901457],[-0.95897791 -0.0083855  -0.28335675],[-8.74388059e-03  9.99961769e-01  2.83531513e-09]
17,3627,1,"[11.162393162393162, 868.9084642955611, 97.6867934932451]",-0.16596586243634714,0.18352072879338074,-0.2159662407784586,-9.509143460851504,10.51496321302572,-12.373954113911815,[-0.92563562  0.09023458 -0.36750024],[-0.37829325 -0.19591078  0.90471718],[0.00963951 0.97646131 0.21547713]
20,16399,5,"[43.82998963351424, 1083.0990304286847, 225.83797792548327]",0.03722009632222889,0.17964888055578923,-0.017894046912227735,2.1325544323341035,10.29312265009656,-1.0252533664797525,[-0.97696009 -0.02966701  0.21135004],[ 0.21308279 -0.1914024   0.95810273],[0.01202886 0.98106319 0.19331403]
22,3027,1,"[15.786257020151966, 1213.3082259663033, 211.50280806078626]",-0.02797209414433821,0.035148689152503854,-0.05672732905782396,-1.6026829386131851,2.0138715438557266,-3.250236538063149,[-0.68197914 -0.0121765   0.73127026],[0.73115373 0.0130545  0.68208783],[-1.78518050e-02  9.99840643e-01  2.73617784e-09]
23,19229,7,"[17.452077591138384, 1251.9896510478964, 47.38020697904207]",-0.29612258813012304,0.2559319763843572,-0.3538780471759714,-16.966574518346818,14.663822089265523,-20.2757185655146,[-0.71904024 -0.06557808  0.69186751],[ 0.69496716 -0.06976493  0.71564902],[0.0013372  0.99540563 0.0957384 ]
25,3166,1,"[7.457991156032849, 1233.8723941882502, 66.91408717624763]",-0.08744251941558101,0.23849129188214013,-0.1456090851566022,-5.010087312503558,13.66454447546926,-8.342786038234308,[8.44191880e-02 9.17224915e-05 9.96430326e-01],[-0.99642973 -0.00108262  0.08441924],[-1.08649815e-03  9.99999408e-01 -1.51934342e-10]
26,7866,2,"[10.586702262903636, 1245.1586575133485, 185.01932367149757]",-0.1313948661619948,0.19078678026430654,-0.18366205018108062,-7.52837128076861,10.931277296034592,-10.52306033209586,[1.49424401e-01 4.45599893e-04 9.88773049e-01],[-0.98876866 -0.00294864  0.14942507],[-2.98211618e-03  9.99995555e-01 -4.72551954e-09]
27,268518,97,"[125.83140422615989, 1466.9645014486925, 44.5824414005765]",-0.12944238315872525,0.30369279984359315,-0.1901394757739283,-7.416502245110237,17.400315699549154,-10.894189480676058,[-0.8582616   0.0032444  -0.51320221],[-0.51321246 -0.0054084   0.85824456],[8.87845664e-06 9.99980115e-01 6.30688221e-03]
28,13325,4,"[27.539887429643528, 1360.1305816135084, 110.75894934333958]",-0.01068315961547217,0.19125437972480003,-0.06588861450111472,-0.6120999578311626,10.958068771623463,-3.7751395288783485,[-0.88387451 -0.00288323 -0.46771523],[-0.46771274 -0.00152569  0.88387921],[-3.26201845e-03  9.99994677e-01  1.30828050e-09]
