a,b,af,bf
23.76173616,24.75910655,24.6821975,15.54612423
8.6257805,11.4883286,47.82204557,25.3217692
0.08909886,8.51111585,13.34729021,35.10400911
0.81162512,6.99364924,28.62205721,13.63431306
0.72205661,9.37275399,32.92788226,35.41662083
0.62012045,11.3333882,25.93607345,29.20992231
0.82403225,8.84047867,29.95635522,20.50638964
0.023579,10.19228,4.108362,35.23506
0.74086673,10.72470206,0.5375333,43.05870975
0.22049599,10.31741729,19.24603208,20.85372982
0.9643296,11.8606749,4.08772452,29.83863694
0.46287889,11.0505667,4.95401043,16.01317445
0.44085014,15.85778443,2.83005137,47.10074971
0.80292028,4.37930639,48.86190898,20.94716596
0.70993257,11.3333882,25.93607345,11.07000024
0.005427132,13.1505671,10.3420403,42.3577553
0.60584589,9.36880505,4.79425456,15.56252978
0.99179013,5.96336504,2.91763764,19.01982399
0.439298183,11.62459625,3.827583851,19.7833797
0.443958167,11.38948271,16.63929943,1.179194688
0.458012075,10.77665277,2.225680615,19.92518123
0.49024013,10.37163251,1.913515988,33.71328735
0.435883,11.81622,45.15538,37.93697
0.395257211,12.63817715,1.067498063,29.40004583
0.49463978,10.4294697,18.79355427,26.0524981
0.499986858,10.56541737,4.32806564,18.7888953
0.487915124,10.6667657,1.18114412,36.19571065
0.502978007,10.46398281,28.68418117,16.14723301
0.501619779,10.50461894,26.12653055,44.3478014
0.500891063,10.5202786,23.63471301,38.21056729
