ID,Pixels,ZDiscs,Centroid,PC1,PC2,PC3,Azi_[RAD],Ele_[RAD],Sph_[RAD]
3,52016,18,"[79.04927330052291, 228.92488849584743, 26.792486927099354]",[0.59325922 0.75013329 0.29213619],[ 0.25186167 -0.51763644  0.81769078],[ 0.76459741 -0.41152469 -0.49602241],0.4937572125608588,-0.5754866317258205,0.7003798727565701
4,175106,63,"[112.05300789236234, 181.43229815083436, 266.0806140280744]",[0.64420666 0.61734222 0.45153778],[-0.118932   -0.50232626  0.85645987],[ 0.75554812 -0.60543944 -0.25018018],0.6755482257504242,-0.31976091110126187,0.7143059086787539
12,57095,20,"[48.25849899290656, 456.55300814432087, 281.4957176635432]",[0.43184877 0.4253489  0.79535209],[ 0.4334175   0.67546836 -0.59656665],[ 0.79098414 -0.60234609 -0.10734652],0.650829906684299,-0.13488851001525723,0.6583804906666588
14,3258,1,"[4.5997544505831796, 440.49907918968694, 139.38428483732352]",[-0.00204761 -0.24419725  0.96972342],[0.15777758 0.95750038 0.24145238],[ 0.98747255 -0.15349502 -0.03656826],0.15420821000919285,-0.03701526474764502,0.15845309644823596
15,64867,23,"[47.26460295681934, 560.2037091279079, 238.11634575361893]",[-0.06162389 -0.27890716  0.95833882],[0.67160571 0.69869155 0.24652767],[ 0.73834156 -0.65881782 -0.14425955],0.7285413502155803,-0.19295242786591485,0.7401883232422372
16,51850,18,"[36.88653809064609, 882.1661909353905, 280.60252651880427]",[0.35550295 0.21946596 0.90854408],[ 0.54289364  0.74277763 -0.39185187],[ 0.76084437 -0.63254729 -0.14491296],0.6935816616625378,-0.18820910845556385,0.7061830384272576
17,3627,1,"[11.162393162393162, 868.9084642955611, 97.6867934932451]",[ 0.47387957  0.76884236 -0.42932456],[0.12129566 0.42590421 0.89660078],[ 0.8721958  -0.476956    0.10857006],0.5004177920170371,-0.12384197633962662,0.5111228589172411
20,16399,5,"[43.82998963351424, 1083.0990304286847, 225.83797792548327]",[0.63139762 0.764141   0.13200597],[-0.15946345 -0.03864739  0.98644705],[ 0.75888632 -0.64389045  0.09745069],0.7036037507756122,-0.12771382457721822,0.709195052783472
22,3027,1,"[15.786257020151966, 1213.3082259663033, 211.50280806078626]",[0.57863523 0.55491504 0.59770442],[-0.2261793  -0.59492759  0.77130026],[ 0.78359696 -0.58148987 -0.21873576],0.6384115603090452,-0.27221401598050354,0.6703617706378754
23,19229,7,"[17.452077591138384, 1251.9896510478964, 47.38020697904207]",[0.23436137 0.69404298 0.68071954],[-0.27930851 -0.6226262   0.73097427],[ 0.93116137 -0.36144289  0.04793258],0.37026106632326067,-0.05143072874865018,0.3732110525197283
25,3166,1,"[7.457991156032849, 1233.8723941882502, 66.91408717624763]",[ 0.02256848 -0.07071263  0.99724139],[0.54879746 0.83464634 0.04676352],[ 0.83565065 -0.54622816 -0.05764361],0.5789411350378028,-0.06887141325086724,0.5814800145390974
