ID,Pixels,ZDiscs,Centroid,Azi_[RAD],Ele_[RAD],Sph_[RAD],Azi_[DEG],Ele_[DEG],Sph_[DEG],PC1_ROT,PC2_ROT,PC3_ROT
323,116499,42,"[418.49746349754076, 2471.3924153855396, 250.1337007184611]",-0.10599704283906242,0.1510430853362873,-0.14306803965426385,-6.073183195545653,8.654131314403596,-8.19719485539962,[-0.86289201 -0.00402062 -0.50537236],[-0.50536687 -0.00235474  0.86290138],[-4.65942313e-03  9.99989149e-01 -2.47711398e-09]
329,100838,36,"[377.3985898173308, 2410.929332196196, 194.37972788036257]",-0.16303595082116784,0.16387351189862331,-0.19996633059120023,-9.341271890955355,9.389260605777995,-11.457226787593537,[0.34352538 0.00123903 0.93914257],[-0.93913646 -0.00338728  0.34352761],[-3.60677478e-03  9.99993495e-01  4.50750954e-09]
335,60710,22,"[417.8574699390545, 2128.108977104266, 281.7388898039862]",0.019014615904791032,0.06781925048061002,-0.010214469924558434,1.0894572404068583,3.885756822279536,-0.5852460166405109,[-0.63143624 -0.00805641  0.77538596],[0.77532285 0.00989224 0.63148763],[-1.27578271e-02  9.99918622e-01 -2.88288245e-09]
365,18669,6,"[442.5787669398468, 2390.6830039102256, 50.54962772510579]",-0.32805840755892013,0.042937988402366234,-0.2982912230504421,-18.79636218690878,2.4601655162372627,-17.09082814658579,[-2.49319498e-02 -2.35055468e-04  9.99689122e-01],[-0.9996447  -0.00942454 -0.02493306],[-9.42747517e-03  9.99955557e-01 -4.13908876e-10]
383,18596,6,"[468.50231232523123, 2349.9804258980425, 135.69590234459022]",-0.16598034708757226,0.296402683394157,-0.21614231450063953,-9.509973370234405,16.982622794837567,-12.38404239507594,[4.62871550e-01 2.80047194e-09 8.86425365e-01],[-8.86425363e-01 -1.26540852e-08  4.62871545e-01],[-1.39853281e-08  1.00000000e+00 -3.75681579e-13]
392,3272,1,"[460.0366748166259, 2388.7802567237163, 70.56662591687042]",-0.05650769261053146,-0.14849307090828118,-0.007168681006295086,-3.2376522966060435,-8.508026249981377,-0.4107351663363019,[-0.968522   -0.04479917 -0.24486357],[-0.24460205 -0.01131412  0.96955754],[-4.62057965e-02  9.98931942e-01  4.68863228e-10]
400,85167,31,"[589.5715241819014, 2375.0751817018327, 14.871851773574273]",-0.08798148576764486,0.030271434445739098,-0.09759141905275981,-5.040967809776362,1.734425433547793,-5.591576428415749,[-0.9235635  -0.01471678  0.38316301],[0.38311438 0.00610484 0.92368074],[-1.59327578e-02  9.99873067e-01  3.92405968e-09]
412,7045,2,"[492.26160397444994, 2455.754009936125, 96.13356990773599]",0.021236213533649906,0.1173850631542703,-0.016165438947586708,1.21674540831674,6.7256686966163155,-0.9262114256731238,[ 0.21755992 -0.27651752  0.93605862],[-0.97577079 -0.03880537  0.21532652],[0.02321745 0.96022508 0.27826021]
419,300379,109,"[560.2665266213684, 2297.4282090292595, 234.603417682328]",-0.12773978701836164,0.29367867367577233,-0.1778958039994094,-7.318950672052139,16.826548534621505,-10.192678762252672,[-1.56722681e-01 -3.05792891e-07  9.87642644e-01],[-9.87642650e-01 -1.88637911e-06 -1.56722678e-01],[-1.91517366e-06  1.00000000e+00 -1.99750149e-09]
429,39088,14,"[525.3685785918952, 2523.393982808023, 110.19097932869423]",-0.21520519064271126,0.04534803362770662,-0.210862129126287,-12.330349153135629,2.5982509360849217,-12.081510058078834,[0.62972229 0.00749248 0.77678421],[-0.77672924 -0.00924158  0.62976685],[-1.18972373e-02  9.99929222e-01 -4.35917053e-09]
