Test_ID,Mann_Whitney_U_p_value,KS_p_value
0,1.3514243139121883e-05,1.1101619496221299e-05
1,0.02699175918320285,0.023787305490781823
2,0.054262031841917864,0.115526111589109
3,0.13916850456341812,0.0062850424446533
4,0.3779901007026739,0.08816718217409435
5,0.006969418775594928,0.004968311346558252
6,0.005341740589181171,0.011445266978380457
7,0.1982855661138908,0.44514803329344477
8,1.597582228523214e-07,3.910462616115637e-06
9,0.00015499316570080163,0.0003083304947022301
10,0.7879095275895116,0.9294706500345868
11,0.3652663482968883,0.4618607370299203
12,1.9007617327635872e-08,8.481261304154115e-07
13,6.379816022361251e-05,0.00019657501430850267
14,0.11430422990396119,0.048663446195479125
15,0.6545982646552242,0.37699399761688657
16,0.029150187872055876,0.03929460517906265
17,2.72658429985339e-05,1.9870610878112998e-05
