ID,Centroid
323,"[418.49746349754076, 2471.3924153855396, 250.1337007184611]"
329,"[377.3985898173308, 2410.929332196196, 194.37972788036257]"
335,"[417.8574699390545, 2128.108977104266, 281.7388898039862]"
365,"[442.5787669398468, 2390.6830039102256, 50.54962772510579]"
383,"[468.50231232523123, 2349.9804258980425, 135.69590234459022]"
392,"[460.0366748166259, 2388.7802567237163, 70.56662591687042]"
400,"[589.5715241819014, 2375.0751817018327, 14.871851773574273]"
412,"[492.26160397444994, 2455.754009936125, 96.13356990773599]"
419,"[560.2665266213684, 2297.4282090292595, 234.603417682328]"
429,"[525.3685785918952, 2523.393982808023, 110.19097932869423]"
444,"[608.5848050796104, 2236.065651154417, 90.98734488482177]"
449,"[552.9947183098592, 2485.4158450704226, 131.67676056338027]"
464,"[594.7952671081678, 2396.2405651214126, 180.3268344370861]"
466,"[662.5842346005286, 2412.756413905265, 52.93070746086603]"
470,"[601.0321156162183, 2410.8279138230964, 3.904723671885454]"
484,"[607.0621324753134, 2396.8475535337843, 216.11461222678352]"
490,"[632.633374766936, 2472.8537600994405, 140.78570540708515]"
491,"[671.749569622257, 2540.776718048163, 284.87458693630407]"
493,"[696.0599961783228, 2104.934894405397, 216.90187428343552]"
495,"[655.3387125753393, 2478.9245871649546, 211.76271989285073]"
497,"[678.9654524971836, 2564.5245426747492, 163.13025052304062]"
502,"[668.5991407089151, 2099.3744360902256, 1.9535982814178303]"
515,"[679.9227770603147, 2549.4884249294496, 251.77722772277227]"
524,"[701.9179204764038, 2629.3702932729047, 14.194434929250876]"
529,"[756.5495279258853, 2085.036007829522, 93.98101075230723]"
533,"[707.5928910601772, 2402.8452424436123, 103.69427449547986]"
539,"[712.0972152167565, 2588.590299715947, 102.44017627226631]"
543,"[729.4425584353634, 2728.6771346795995, 235.1500238511687]"
544,"[762.0732950924156, 2213.575621414914, 280.78573932441043]"
545,"[738.7123394454779, 2212.9709628842234, 180.3646735760475]"
548,"[776.3724598655072, 2222.55343663091, 26.271229712032255]"
551,"[725.3044805274081, 2572.1657713750865, 58.5781955805152]"
552,"[770.7624777448071, 2775.970578635015, 266.62433234421366]"
555,"[750.5816121445371, 2652.2551635663885, 192.18890314304042]"
568,"[750.5791105409451, 2810.9206400114035, 204.05566246169198]"
572,"[780.8466499934185, 2879.1582861655916, 224.97426615769382]"
577,"[754.1346531121812, 2211.726859283039, 215.47458533975387]"
584,"[767.558186698479, 2289.0416940053683, 143.06579182821355]"
588,"[808.7291276765234, 1902.9268760857256, 170.83658211204207]"
601,"[809.5414417161409, 2297.871002457267, 215.22843613796567]"
604,"[882.5786741900189, 1912.5811608749514, 95.73990631979673]"
605,"[795.1012974645876, 2650.8259730984405, 168.83228187120582]"
606,"[837.6491421913295, 2379.283498734381, 286.378279561252]"
607,"[829.860427436799, 2388.4719176194494, 165.04794674996032]"
610,"[798.7317471848892, 2320.3505266981474, 3.0915365056302218]"
611,"[869.0853028865193, 1957.9236712521201, 239.9295145297357]"
612,"[791.7702546296297, 2276.4950810185187, 194.56076388888889]"
633,"[824.7474541751527, 2925.217373032037, 269.02592700352375]"
634,"[842.9388648218548, 2373.236384935019, 253.85186986119706]"
635,"[823.0866372980911, 2207.061883784351, 67.02978812670443]"
639,"[868.0369540315753, 2429.5720653418994, 109.8435181034912]"
642,"[838.6004832863472, 2928.6603906564637, 290.06222311719694]"
644,"[856.7725650324091, 2315.8711630164757, 54.258644813112134]"
645,"[863.8917904136928, 2454.3354192740926, 9.52498055001184]"
648,"[861.4332382241996, 2264.0028774542993, 89.53885772318407]"
653,"[907.9108522271268, 1639.5012289325844, 277.9801489767255]"
654,"[889.2779825279825, 2044.1778426153426, 177.83930521430523]"
659,"[973.1996865714773, 2109.209634037004, 35.29824613401107]"
660,"[962.0899571055576, 2120.6705893323387, 268.67826370757183]"
661,"[905.1430472111927, 2484.4324678294493, 193.99407521360413]"
662,"[891.1467382396329, 2415.48938698574, 65.9461973446976]"
665,"[927.429524884162, 2619.151177586248, 238.06189230067463]"
670,"[904.5843802345058, 2887.763609715243, 4.234087102177554]"
674,"[892.8542053595118, 2031.3352348102944, 205.750596975325]"
675,"[933.3388176495266, 2586.1063878299256, 273.54749831275194]"
677,"[899.029785268991, 2039.9822211960286, 216.64904179173402]"
684,"[953.5437587677264, 2112.4949095101183, 218.83677097656846]"
685,"[917.1434737791521, 2116.6291070738307, 145.62633681226646]"
686,"[928.8886111805382, 2769.8017162376073, 174.16104307256518]"
690,"[1002.3487270493482, 2968.572274930039, 149.62816190021158]"
692,"[918.4692335502531, 2645.7043745480837, 202.59862617498192]"
693,"[959.4046755144284, 2768.2157311579203, 195.7154998173627]"
702,"[997.4491142937635, 1795.5055626146302, 168.13406044995372]"
703,"[958.184421139782, 2723.353594590865, 224.4587760452601]"
704,"[967.9118413191541, 2954.871884335046, 131.95557414266938]"
706,"[929.3636959370905, 2077.902359108781, 195.41284403669724]"
711,"[983.8452153207425, 2229.284333279062, 162.44562031911428]"
714,"[965.713657689608, 2168.2356200820127, 189.86039380841552]"
719,"[973.3276169626206, 3009.214444985, 94.20293116030163]"
721,"[982.9907639795201, 2880.2338118662783, 171.78706957132817]"
723,"[961.9293311273931, 2974.8273457811392, 115.22016071850626]"
728,"[1003.0739582415646, 2260.3394634833935, 115.07373799665228]"
729,"[950.8771830985916, 2507.9678873239436, 172.94103286384976]"
730,"[1045.5533359050264, 1775.2928782881193, 99.11047300372317]"
737,"[1006.5763062132171, 2216.470798328766, 287.2125657037603]"
739,"[962.8097333678488, 2034.6958322547243, 69.50556562257313]"
741,"[992.0257983094623, 1734.4921343038272, 207.95022305705564]"
743,"[1018.0685936487363, 3091.212015554115, 75.10614387556707]"
744,"[1035.8001400798835, 1812.6932061256555, 245.80733337119275]"
749,"[1037.7446557626474, 2253.0371624191707, 75.3036896158235]"
759,"[1025.3212503598504, 3001.0078207465695, 201.2107763170521]"
761,"[1005.7885529832356, 2769.576377078199, 260.5630488355142]"
763,"[1034.9744406254213, 2949.388495754145, 226.59012333198544]"
764,"[1002.5957517424494, 2683.1526717557254, 296.60902754729506]"
766,"[1015.1248332592263, 2766.5374610938193, 281.4239662072032]"
770,"[1120.2004570023216, 1951.7801708711493, 269.3605179359646]"
775,"[1083.4409743910055, 1482.568840903007, 281.809627911127]"
779,"[1071.0801036381301, 2932.7524560077727, 288.74819173054084]"
780,"[1064.268062827225, 2978.8154886561956, 259.94415357766144]"
781,"[1084.3456034881417, 2431.3825725044594, 238.30193565435687]"
782,"[1060.047614213198, 1825.642111675127, 33.14554314720812]"
783,"[1068.8028784733312, 2329.9130269881825, 197.72478840626]"
784,"[1068.7031181379007, 2755.1501976284585, 2.709852144634753]"
