ID,Pixels,ZDiscs,Centroid,Azi_[RAD],Ele_[RAD],Sph_[RAD],Azi_[DEG],Ele_[DEG],Sph_[DEG],PC1_ROT,PC2_ROT,PC3_ROT
323,116499,42,"[2044.163424750212, 3997.195941543635, 250.1337007184611]",-0.1059970428390624,0.1510430853362873,-0.1430680396542638,-6.073183195545653,8.654131314403596,-8.19719485539962,[-0.86289201 -0.00402062 -0.50537236],[-0.50536687 -0.00235474  0.86290138],[-4.65942313e-03  9.99989149e-01 -2.47711398e-09]
329,100838,36,"[1972.3482763371749, 3983.5033776874097, 194.37972788036257]",-0.1630359508211678,0.1638735118986233,-0.1999663305912002,-9.341271890955356,9.389260605777997,-11.457226787593536,[0.34352538 0.00123903 0.93914257],[-0.93913646 -0.00338728  0.34352761],[-3.60677478e-03  9.99993495e-01  4.50750954e-09]
335,60710,22,"[1800.9728338873683, 3754.910438251034, 281.7388898039862]",0.019014615904791,0.06781925048061,-0.0102144699245584,1.0894572404068583,3.885756822279536,-0.5852460166405109,[-0.63143624 -0.00805641  0.77538596],[0.77532285 0.00989224 0.63148763],[-1.27578271e-02  9.99918622e-01 -2.88288245e-09]
365,18669,6,"[2004.1213055543076, 3923.0977164199994, 50.54962772510579]",-0.3280584075589201,0.0429379884023662,-0.2982912230504421,-18.79636218690878,2.4601655162372627,-17.09082814658579,[-2.49319498e-02 -2.35055468e-04  9.99689122e-01],[-0.9996447  -0.00942454 -0.02493306],[-9.42747517e-03  9.99955557e-01 -4.13908876e-10]
383,18596,6,"[1993.670951364521, 3875.9859327614076, 135.69590234459022]",-0.1659803470875722,0.296402683394157,-0.2161423145006395,-9.509973370234404,16.982622794837567,-12.38404239507594,[4.62871550e-01 2.80047194e-09 8.86425365e-01],[-8.86425363e-01 -1.26540852e-08  4.62871545e-01],[-1.39853281e-08  1.00000000e+00 -3.75681579e-13]
392,3272,1,"[2015.1204651608439, 3909.4076659365346, 70.56662591687042]",-0.0565076926105314,-0.1484930709082811,-0.007168681006295,-3.2376522966060435,-8.508026249981377,-0.4107351663363019,[-0.968522   -0.04479917 -0.24486357],[-0.24460205 -0.01131412  0.96955754],[-4.62057965e-02  9.98931942e-01  4.68863228e-10]
400,85167,31,"[2097.0244840623636, 3808.1217440657265, 14.871851773574273]",-0.0879814857676448,0.030271434445739,-0.0975914190527598,-5.040967809776362,1.734425433547793,-5.591576428415749,[-0.9235635  -0.01471678  0.38316301],[0.38311438 0.00610484 0.92368074],[-1.59327578e-02  9.99873067e-01  3.92405968e-09]
412,7045,2,"[2085.2645261496054, 3933.97879506379, 96.13356990773599]",0.0212362135336499,0.1173850631542703,-0.0161654389475867,1.21674540831674,6.7256686966163155,-0.9262114256731238,[ 0.21755992 -0.27651752  0.93605862],[-0.97577079 -0.03880537  0.21532652],[0.02321745 0.96022508 0.27826021]
419,300379,109,"[2021.3980206492727, 3773.938805648051, 234.603417682328]",-0.1277397870183616,0.2936786736757723,-0.1778958039994094,-7.318950672052139,16.826548534621505,-10.192678762252672,[-1.56722681e-01 -3.05792891e-07  9.87642644e-01],[-9.87642650e-01 -1.88637911e-06 -1.56722678e-01],[-1.91517366e-06  1.00000000e+00 -1.99750149e-09]
429,39088,14,"[2156.5033759031653, 3958.3973123042165, 110.19097932869423]",-0.2152051906427112,0.0453480336277066,-0.210862129126287,-12.330349153135629,2.5982509360849217,-12.081510058078834,[0.62972229 0.00749248 0.77678421],[-0.77672924 -0.00924158  0.62976685],[-1.18972373e-02  9.99929222e-01 -4.35917053e-09]
444,227734,82,"[2012.1743222181024, 3696.3827425107156, 90.98734488482177]",0.0254495010513693,0.1855157849196269,-0.01987659843803,1.4581490009572065,10.629271508951348,-1.1388452015754424,[2.62011033e-02 7.87921342e-05 9.99656689e-01],[-0.99965217 -0.00300594  0.02620122],[-3.00697102e-03  9.99995482e-01 -1.67922424e-09]
449,2840,1,"[2149.1834079046507, 3912.0080828405435, 131.67676056338027]",0.201621633261523,-0.706083955403805,0.4003443615814193,11.552068644419762,-40.455630626541456,22.938042270474703,[-0.91104226 -0.28163736  0.30113517],[0.28770155 0.08893935 0.95358146],[ 2.95346927e-01 -9.55390072e-01 -2.37978459e-09]
464,56625,20,"[2115.6844142511004, 3819.3941861617864, 180.3268344370861]",-0.0835681734582922,0.1250419585880619,-0.116925672750205,-4.788103640777322,7.1643764891455675,-6.699347565314568,[0.35200377 0.00233313 0.93599567],[-0.93597512 -0.00620375  0.3520115 ],[-6.62797341e-03  9.99978035e-01  5.24266819e-09]
466,98380,35,"[2175.2969215266967, 3783.138616230417, 52.93070746086603]",-0.171514588124086,0.03916621513841,-0.1720158721188194,-9.827062024434753,2.2440588269322888,-9.855783481670445,[-0.8264712  -0.01108264  0.56286991],[0.56281931 0.00754718 0.8265455 ],[-1.34083949e-02  9.99910102e-01 -5.06648733e-09]
470,7473,2,"[2130.4093453108694, 3825.2988814750042, 3.904723671885454]",-0.1151006083195329,0.1729740334011329,-0.1554970346361228,-6.594779076097609,9.910682079239848,-8.909323811449422,[-0.93051872 -0.00309555  0.36623125],[0.36622922 0.00121833 0.93052387],[-3.32667197e-03  9.99994463e-01 -5.34836475e-09]
484,9013,3,"[2124.787603558601, 3811.149408099265, 216.11461222678352]",0.0260551066579397,0.1968250360247386,-0.0202131070422301,1.492847646263158,11.27724386672791,-1.1581257243659522,[-6.33196792e-02 -1.53633334e-04  9.97993279e-01],[-0.99799034 -0.00242144 -0.06331986],[-2.42630355e-03  9.99997054e-01 -2.60395046e-09]
490,16090,5,"[2196.6137064612126, 3846.812313346335, 140.78570540708515]",-0.0405172268458216,0.2362564067693229,-0.0888718479738505,-2.3214660958397246,13.536494990808215,-5.091981806429914,[ 0.62727625 -0.07904373  0.77477519],[-0.77879265 -0.06040565  0.62436621],[0.00255144 0.99503932 0.0994497 ]
491,50537,18,"[2272.3018172614147, 3867.1817708737135, 284.87458693630407]",0.0326180329607357,0.168089472140299,-0.0112391702738584,1.8688756246687603,9.630817334220968,-0.6439570219209827,[-0.81742921 -0.00330183 -0.57601961],[-0.5760149  -0.00232669  0.81743588],[-4.03924523e-03  9.99991840e-01  3.01583836e-09]
493,240732,87,"[1981.305175710235, 3541.804994379871, 216.90187428343552]",-0.0470848977577902,0.2382294891227441,-0.0955162153614164,-2.6977659203263755,13.649544282290991,-5.4726760152718015,[-1.74360959e-01 -1.38210007e-04  9.84681797e-01],[-9.84681487e-01 -7.80535605e-04 -1.74361014e-01],[-7.92675395e-04  9.99999688e-01  3.27877554e-09]
495,61223,22,"[2216.9615277801017, 3835.049937998318, 211.76271989285073]",0.0176487984613786,0.2405084727138658,-0.0312428485107799,1.0112016653139904,13.780120423641833,-1.790083359634281,[4.07788211e-01 3.11501436e-04 9.13076489e-01],[-9.13076228e-01 -6.97490070e-04  4.07788329e-01],[-7.63883970e-04  9.99999709e-01  2.55676336e-10]
497,111846,40,"[2294.1964648064113, 3878.8716189924935, 163.13025052304062]",-0.0088313315651156,0.1659007676099516,-0.0514332586778885,-0.5059980261617909,9.505413802030898,-2.946908648847632,[0.44478102 0.00181667 0.89563751],[-0.89563004 -0.00365812  0.44478473],[-4.08437494e-03  9.99991663e-01  3.76360819e-10]
502,4655,1,"[1957.9555808094706, 3557.29091371831, 1.9535982814178303]",-0.0371816446645305,-0.3158918588668258,0.086135594188704,-2.130351314632705,-18.09927029561137,4.93520601286432,[-0.8182468  -0.07392194  0.57009449],[0.56778217 0.0512945  0.82157914],[-8.99754375e-02  9.95943988e-01 -3.36148774e-09]
515,41814,15,"[2284.241254676377, 3867.562547481686, 251.77722772277227]",-0.0484179286747488,0.1690944282089872,-0.0903174385389049,-2.7741429658285455,9.68839707555286,-5.174808044711462,[-0.26445396 -0.00099884  0.96439779],[-0.96439091 -0.0036425  -0.26445584],[-3.77696942e-03  9.99992870e-01 -1.97252300e-09]
524,37951,13,"[2356.2791805385723, 3908.494643218507, 14.194434929250876]",-0.0532127848611381,-0.0839887390586078,-0.0306111044026266,-3.048867988680854,-4.8122002746838,-1.7538870885048397,[0.08756081 0.00295946 0.99615478],[-0.99558628 -0.03364968  0.08761082],[-3.37795810e-02  9.99429307e-01  4.35837908e-09]
529,225812,82,"[2010.0070961638726, 3484.9617986545077, 93.98101075230723]",0.0706831389221118,0.2300483840312525,0.0219924777483597,4.049845542973884,13.180801488795533,1.260076156016389,[6.02947081e-03 6.62439410e-06 9.99981821e-01],[-0.99998122 -0.00109844  0.00602947],[-1.09845459e-03  9.99999395e-01 -6.05005844e-10]
533,43804,15,"[2200.1145911713725, 3744.304433485667, 103.69427449547986]",-0.0476440484411928,-0.069273028489786,-0.0315906283447053,-2.7298028945971993,-3.969052166554249,-1.810009676317968,[0.50045224 0.01569687 0.86562185],[-0.86519636 -0.02713721  0.50069834],[-3.13499518e-02  9.99508469e-01  1.19288448e-09]
539,37669,13,"[2334.6412188963036, 3872.4609848990385, 102.44017627226631]",-0.0497937103268686,0.2072713649451482,-0.0958714258192665,-2.852969448026556,11.875774425272834,-5.493028075345528,[-0.49177547 -0.12596703  0.86156206],[-0.87070443  0.07743877 -0.48567174],[0.00553968 0.98900735 0.14776254]
543,50312,18,"[2445.9625796659484, 3959.252326044913, 235.1500238511687]",-0.0089977026214262,0.1401049525499408,-0.0483260404894539,-0.5155303855215152,8.02742246999227,-2.768878160624048,[0.71665886 0.00419826 0.69741125],[-0.69739928 -0.00408544  0.71667115],[-5.85799961e-03  9.99982841e-01 -1.51961107e-09]
544,62760,22,"[2104.804221802351, 3571.947137850688, 280.78573932441043]",0.0017052503508008,0.1287654674234974,-0.036461275539096,0.0977036481140913,7.377717830395692,-2.089077204053794,[-0.91505998 -0.00620827 -0.40327001],[-0.40326073 -0.00273594  0.91508103],[-6.78438923e-03  9.99976982e-01 -2.27693822e-09]
545,56445,20,"[2087.8579735020494, 3588.0382698562817, 180.3646735760475]",-0.000951056654312,0.0730455505035084,-0.0296812415183296,-0.0544915323699086,4.185201756060739,-1.7006098697087637,[0.50795311 0.006116   0.86136301],[-0.86130058 -0.01037048  0.50798993],[-1.20396209e-02  9.99927517e-01 -9.24247823e-10]
548,135918,49,"[2121.263532198178, 3568.184375493801, 26.271229712032255]",-0.0420553387869526,0.047791305327907,-0.0617333697463278,-2.4095934184852155,2.738240092710157,-3.5370615415851887,[-0.94313676 -0.01367354 -0.3321236 ],[-0.3320887  -0.0048146   0.94323587],[-1.44964068e-02  9.99894919e-01  3.74116798e-09]
551,49146,17,"[2332.366270390782, 3851.508142669334, 58.5781955805152]",-0.0346737987440306,0.2367144856106848,-0.0830918429231282,-1.9866623277189603,13.562740975102496,-4.760811911459228,[6.26842143e-02 5.28069523e-05 9.98033406e-01],[-9.98033058e-01 -8.40723477e-04  6.26842430e-02],[-8.42373971e-04  9.99999644e-01 -3.27565730e-10]
552,134800,49,"[2508.6216897342774, 3963.4762458296645, 266.62433234421366]",-0.1456446186492774,0.1409651991688878,-0.1787214166264731,-8.34482195739595,8.076710970598333,-10.239982881296129,[0.63076271 0.00320334 0.77596917],[-0.77595916 -0.00394074  0.63077085],[-5.07847096e-03  9.99987103e-01 -4.11835684e-09]
555,46770,17,"[2406.8716538857775, 3890.2662638134957, 192.18890314304042]",-0.0112799376153422,0.2322704813956442,-0.0595895579452293,-0.6462928185299717,13.30811828944232,-3.414230173311907,[7.62577257e-01 7.53307142e-04 6.46896712e-01],[-6.46896406e-01 -6.39032084e-04  7.62577624e-01],[-9.87840527e-04  9.99999514e-01 -2.30937318e-09]
