ID,Pixels,ZDiscs,Centroid,Azi_[RAD],Ele_[RAD],Sph_[RAD],Azi_[DEG],Ele_[DEG],Sph_[DEG],PC1_ROT,PC2_ROT,PC3_ROT
43,71518,26,"[1920.3494074453652, 4422.3843550832025, 196.72899130288877]",-0.2841174086073477,0.0162442819068638,-0.2499385025197618,-16.278728399394907,0.9307287944840256,-14.320421332202244,[-0.81784168 -0.00965185 -0.57536236],[-0.57532229 -0.00678973  0.81789862],[-1.18007983e-02  9.99930369e-01  5.03596901e-09]
48,6178,2,"[1939.2037731050968, 4460.435922280854, 48.82146325671739]",-0.1784559303986688,-0.1233596395189859,-0.0987917613128263,-10.22477164092409,-7.067986706693134,-5.660350973888747,[0.34679705 0.01157098 0.93786882],[-0.93734721 -0.03127486  0.34699003],[-3.33467275e-02  9.99443843e-01 -3.86637951e-09]
50,30335,11,"[2077.527175452763, 4562.572268276887, 16.257722103181145]",-0.0820910924996307,-0.2820482658020745,0.0484222394244049,-4.703473135846892,-16.160175249442897,2.7743899535903864,[-0.99188172 -0.07301192 -0.10411488],[-0.10383396 -0.00764317  0.99456527],[-7.34108885e-02  9.97301777e-01 -1.75069997e-09]
51,25265,9,"[2277.192912286498, 4775.727393715168, 191.68015040569958]",-0.1370491315667137,0.2190092633108275,-0.1836671504337085,-7.852336824705844,12.548306461979768,-10.523352555045886,[-0.95969025  0.03846299 -0.27841554],[-0.28104192 -0.12014815  0.95214488],[0.00317122 0.9920106  0.12611472]
52,11527,4,"[2365.776063222945, 4878.844175989288, 292.60163095341375]",-0.2049566743605564,0.039305959683232,-0.1995282898190857,-11.743152423897058,2.2520655995605683,-11.432128900096725,[-0.94443303 -0.01108021 -0.3285171 ],[-0.32849449 -0.00385394  0.94449802],[-1.17313271e-02  9.99931186e-01  3.14649542e-09]
54,10532,3,"[2363.240914870992, 4890.462035276261, 277.15514622104064]",-0.1917202530604242,0.1231531220370307,-0.2176733002894424,-10.984761347542417,7.0561541265814345,-12.471761419268852,[-0.86590064 -0.00461659 -0.50019474],[-0.50018763 -0.00266677  0.86591294],[-5.33147793e-03  9.99985791e-01 -1.33779301e-09]
56,30686,11,"[2404.7502344683344, 4916.6484723420535, 254.6470377370788]",-0.1394715362657659,0.1653211046598328,-0.1782995744768549,-7.99113039023419,9.472201561448989,-10.21581310650228,[0.70329327 0.00227449 0.7108962 ],[-0.71089248 -0.00229907  0.70329694],[-3.23403431e-03  9.99994767e-01  1.90546838e-09]
60,35927,13,"[2451.8482498960257, 4961.078138930339, 222.99930414451526]",-0.1524505423191953,0.2354964271401482,-0.2004780840846765,-8.734772659370435,13.49295136554059,-11.486548102920803,[-4.14511814e-01 -2.54376672e-04  9.10043896e-01],[-9.10043725e-01 -5.58468155e-04 -4.14511895e-01],[-6.13678944e-04  9.99999814e-01 -7.91472976e-10]
61,54990,20,"[2521.3306479822413, 5021.471098661262, 194.12967812329515]",-0.0979810680154562,0.0121724659135822,-0.100036806698306,-5.613901669469897,0.6974309231151192,-5.731686819778979,[0.26124751 0.00441045 0.96526177],[-0.96512424 -0.01629349  0.26128474],[-1.68798672e-02  9.99857530e-01 -1.58064843e-09]
66,16123,5,"[1998.9033929413122, 4501.530421364712, 140.37951994045773]",-0.0306596572871833,0.0985188819788454,-0.0624000482503799,-1.7566689638731248,5.6447161397353085,-3.575259406159468,[-0.29577453 -0.00253528  0.95525441],[-0.95521933 -0.00818784 -0.29578539],[-8.57136634e-03  9.99963260e-01 -4.34951355e-09]
