Test_ID,Mann_Whitney_U_p_value,KS_p_value
0,0.11504905300715271,7.273720173791593e-05
1,0.0017539749604993339,8.506857925006355e-07
2,0.0005237064820446286,2.0997608797837328e-08
3,0.0004196396340640044,3.305190589146415e-06
4,4.861016567935941e-06,5.493624413965826e-11
5,5.64665746780962e-05,9.736921875540346e-08
6,0.0033187717418949637,1.1981737896711569e-05
7,5.4083926319295504e-05,4.212051279195452e-09
8,1.5318060095709444e-06,4.212051279195452e-09
9,0.5966398372588659,0.03187817384435807
10,0.8679334993276817,0.014968637069865589
11,0.05765156538329929,6.34746829051982e-06
12,0.5768870603306788,4.0556500362959436e-05
13,0.8705911692695798,0.0010492320309779838
14,0.00541505678199603,7.273720173791593e-05
15,0.05720850642415132,0.00012826775360234093
16,0.0005646063124346689,3.305190589146415e-06
17,0.3832435025565434,0.004265442889081313
