ID,Pixels,ZDiscs,Centroid,Azi_[RAD],Ele_[RAD],Sph_[RAD],Azi_[DEG],Ele_[DEG],Sph_[DEG],PC1_ROT,PC2_ROT,PC3_ROT
842,217992,79,"[1177.1678089104187, 1648.6570975081654, 174.46791166648316]",-0.1481566866713426,0.1632683672619111,-0.1862483965062165,-8.488752852910068,9.354588372099409,-10.671247060885314,[-0.89381405 -0.00294998 -0.44842807],[-0.44842563 -0.00148001  0.89381892],[-3.30041484e-03  9.99994555e-01 -2.71917376e-09]
859,171381,62,"[1228.3039018327586, 1661.838138416744, 111.82187640403545]",-0.0709888635473667,0.2064708859041971,-0.1172337563771588,-4.067362273694215,11.829910354637658,-6.716999456876099,[-0.99009413 -0.01537113  0.13956124],[ 0.14032541 -0.14183058  0.97989432],[0.00473197 0.9897716  0.14258257]
948,95772,34,"[1316.3386898049534, 1905.9552583218476, 172.5461617174122]",-0.0181900719117349,0.2866611012614353,-0.0685650511070318,-1.0422143495818688,16.424471252852566,-3.928488050531712,[ 0.73599147 -0.00435286  0.67697682],[-0.67699082 -0.00471641  0.73597635],[1.06976677e-05 9.99979404e-01 6.41807584e-03]
949,100805,36,"[1341.1762710183027, 1980.7812013292992, 109.424810277268]",-0.1017207575625436,0.0196409459632426,-0.105708186057511,-5.828170097207192,1.1253433093383158,-6.056632921079036,[ 0.57770387 -0.39236211  0.71575849],[-0.81491635 -0.227205    0.53318781],[0.04657879 0.89130795 0.4509995 ]
959,211794,77,"[1365.4685685146887, 1518.6224869448615, 172.32945692512536]",-0.1436445257387335,0.1743417621696533,-0.1839208164070802,-8.230225074987757,9.989047165194696,-10.537886544726163,[-0.95939945 -0.00265629  0.28203835],[2.82037273e-01 7.80872002e-04 9.59403126e-01],[-2.76868692e-03  9.99996169e-01  3.46708995e-09]
977,204090,74,"[1422.1392277916605, 1572.1557058160615, 112.50977999902004]",-0.0348451539593015,0.1935778835886998,-0.0803742222071326,-1.9964802583515535,11.091195736707265,-4.6051037141153515,[-0.5473912  -0.13080142  0.82659172],[-0.8368516   0.09322745 -0.53943308],[0.00650242 0.98701551 0.16049325]
1034,6005,2,"[1414.7458784346377, 2075.207826810991, 180.01448792672772]",-0.0289321807505076,0.1603616899502646,-0.0707597251928509,-1.657691849113732,9.188048029735633,-4.054233613055878,[0.65441686 0.00257829 0.75612956],[-0.75612369 -0.00297899  0.65442195],[-3.93979217e-03  9.99992239e-01 -1.35477612e-09]
1059,61285,22,"[1529.9127192624624, 1867.3130129721792, 108.02888145549483]",0.0570283446018988,0.203988377401165,0.0094369994972808,3.267483458306472,11.687673094808575,0.5407002424612699,[-0.84010962  0.07728205 -0.53688296],[-0.54238887 -0.10967115  0.8329385 ],[0.00549063 0.99095899 0.13405271]
1061,42464,15,"[1498.6774679728712, 1871.8758948756595, 136.55637716654107]",0.0118598650970662,0.2882806863339632,-0.0385202593249554,0.6795202156564102,16.5172666420708,-2.2070482850693978,[-9.70021311e-01  8.96861374e-04 -2.43018212e-01],[-0.24301986 -0.00356446  0.97001476],[3.73971918e-06 9.99993249e-01 3.67556734e-03]
1062,143755,52,"[1514.0998295711454, 1338.8485896142743, 170.46333692741123]",0.1277563559673176,0.1295336065963812,0.0847958088688717,7.31990000289828,7.421728963080607,4.858441968584344,[0.20167394 0.00130954 0.97945184],[-0.97943119 -0.00635978  0.2016782 ],[-6.49319813e-03  9.99978924e-01 -5.82234206e-10]
1066,93946,34,"[1499.9051476380048, 1762.3987397015308, 182.62977668022054]",-0.0130705399145587,0.2441356991553546,-0.0624207558090688,-0.7488867730614999,13.987945190077395,-3.5764458618763584,[6.30200389e-01 3.19215614e-04 7.76432467e-01],[-7.76432363e-01 -3.93295943e-04  6.30200464e-01],[-5.06533675e-04  9.99999872e-01 -4.19789810e-09]
